CURRENTLY TRADED OPTION LIST (22-Sep-2003),,,,,,,,,,
"""No responsibilities accepted for any inaccuracies published""",,,,,,,,,,

ADZ   Call Options,,,,,,ADZ   Put Options,,,,
ADZWF ,30-Oct-03,1.30,A,1000,,ADZYF ,30-Oct-03,1.30,A,1000
ADZWA ,30-Oct-03,1.40,A,1000,,ADZYA ,30-Oct-03,1.40,A,1000
ADZWB ,30-Oct-03,1.50,A,1000,,ADZYB ,30-Oct-03,1.50,A,1000
ADZWC ,30-Oct-03,1.60,A,1000,,ADZYC ,30-Oct-03,1.60,A,1000
ADZWD ,30-Oct-03,1.70,A,1000,,ADZYD ,30-Oct-03,1.70,A,1000
ADZWE ,30-Oct-03,1.80,A,1000,,ADZYE ,30-Oct-03,1.80,A,1000
ADZWG ,30-Oct-03,1.90,A,1000,,ADZYG ,30-Oct-03,1.90,A,1000
ADZJF ,29-Jan-04,1.30,A,1000,,ADZLF ,29-Jan-04,1.30,A,1000
ADZJA ,29-Jan-04,1.40,A,1000,,ADZLA ,29-Jan-04,1.40,A,1000
ADZJB ,29-Jan-04,1.50,A,1000,,ADZLB ,29-Jan-04,1.50,A,1000
ADZJC ,29-Jan-04,1.60,A,1000,,ADZLC ,29-Jan-04,1.60,A,1000
ADZJD ,29-Jan-04,1.70,A,1000,,ADZLD ,29-Jan-04,1.70,A,1000
ADZJE ,29-Jan-04,1.80,A,1000,,ADZLE ,29-Jan-04,1.80,A,1000
ADZJG ,29-Jan-04,1.90,A,1000,,ADZLG ,29-Jan-04,1.90,A,1000
ADZKF ,29-Apr-04,1.30,A,1000,,ADZMF ,29-Apr-04,1.30,A,1000
ADZKA ,29-Apr-04,1.40,A,1000,,ADZMA ,29-Apr-04,1.40,A,1000
ADZKB ,29-Apr-04,1.50,A,1000,,ADZMB ,29-Apr-04,1.50,A,1000
ADZKC ,29-Apr-04,1.60,A,1000,,ADZMC ,29-Apr-04,1.60,A,1000
ADZKD ,29-Apr-04,1.70,A,1000,,ADZMD ,29-Apr-04,1.70,A,1000
ADZKE ,29-Apr-04,1.80,A,1000,,ADZME ,29-Apr-04,1.80,A,1000
ADZKG ,29-Apr-04,1.90,A,1000,,ADZMG ,29-Apr-04,1.90,A,1000

AGL   Call Options,,,,,,AGL   Put Options,,,,
AGLQA ,25-Sep-03,9.50,A,1000,,AGLSA ,25-Sep-03,9.50,A,1000
AGLQP ,25-Sep-03,9.75,A,1000,,AGLSP ,25-Sep-03,9.75,A,1000
AGLQB ,25-Sep-03,10.00,A,1000,,AGLSB ,25-Sep-03,10.00,A,1000
AGLQH ,25-Sep-03,10.25,A,1000,,AGLSH ,25-Sep-03,10.25,A,1000
AGLQC ,25-Sep-03,10.50,A,1000,,AGLSC ,25-Sep-03,10.50,A,1000
AGLQG ,25-Sep-03,10.75,A,1000,,AGLSG ,25-Sep-03,10.75,A,1000
AGLQD ,25-Sep-03,11.00,A,1000,,AGLSD ,25-Sep-03,11.00,A,1000
AGLQF ,25-Sep-03,11.25,A,1000,,AGLSF ,25-Sep-03,11.25,A,1000
AGLQE ,25-Sep-03,11.50,A,1000,,AGLSE ,25-Sep-03,11.50,A,1000
AGLQJ ,25-Sep-03,11.75,A,1000,,AGLSJ ,25-Sep-03,11.75,A,1000
AGLQK ,25-Sep-03,12.00,A,1000,,AGLSK ,25-Sep-03,12.00,A,1000
AGLQL ,25-Sep-03,12.50,A,1000,,AGLSL ,25-Sep-03,12.50,A,1000
AGLWH ,18-Dec-03,9.50,A,1000,,AGLYH ,18-Dec-03,9.50,A,1000
AGLWI ,18-Dec-03,9.75,A,1000,,AGLYI ,18-Dec-03,9.75,A,1000
AGLWA ,18-Dec-03,10.00,A,1000,,AGLYA ,18-Dec-03,10.00,A,1000
AGLWB ,18-Dec-03,10.50,A,1000,,AGLYB ,18-Dec-03,10.50,A,1000
AGLWJ ,18-Dec-03,10.75,A,1000,,AGLYJ ,18-Dec-03,10.75,A,1000
AGLWC ,18-Dec-03,11.00,A,1000,,AGLYC ,18-Dec-03,11.00,A,1000
AGLWD ,18-Dec-03,11.50,A,1000,,AGLYD ,18-Dec-03,11.50,A,1000
AGLWE ,18-Dec-03,12.00,A,1000,,AGLYE ,18-Dec-03,12.00,A,1000
AGLWG ,18-Dec-03,12.25,A,1000,,AGLYG ,18-Dec-03,12.25,A,1000
AGLWF ,18-Dec-03,12.50,A,1000,,AGLYF ,18-Dec-03,12.50,A,1000
AGLJF ,25-Mar-04,9.50,A,1000,,AGLLF ,25-Mar-04,9.50,A,1000
AGLJK ,25-Mar-04,9.75,A,1000,,AGLLK ,25-Mar-04,9.75,A,1000
AGLJC ,25-Mar-04,10.00,A,1000,,AGLLC ,25-Mar-04,10.00,A,1000
AGLJD ,25-Mar-04,10.50,A,1000,,AGLLD ,25-Mar-04,10.50,A,1000
AGLJB ,25-Mar-04,11.00,A,1000,,AGLLB ,25-Mar-04,11.00,A,1000
AGLJE ,25-Mar-04,11.50,A,1000,,AGLLE ,25-Mar-04,11.50,A,1000
AGLJJ ,25-Mar-04,12.00,A,1000,,AGLLJ ,25-Mar-04,12.00,A,1000
AGLJA ,25-Mar-04,12.50,A,1000,,AGLLA ,25-Mar-04,12.50,A,1000
AGLKQ ,27-May-04,7.00,A,1000,,AGLMQ ,27-May-04,7.00,A,1000
AGLKR ,27-May-04,7.50,A,1000,,AGLMR ,27-May-04,7.50,A,1000
AGLKS ,27-May-04,8.00,A,1000,,AGLMS ,27-May-04,8.00,A,1000
AGLKK ,27-May-04,10.00,A,1000,,AGLMK ,27-May-04,10.00,A,1000
AGLKP ,24-Jun-04,9.50,A,1000,,AGLMP ,24-Jun-04,9.50,A,1000
AGLKC ,24-Jun-04,9.75,A,1000,,AGLMC ,24-Jun-04,9.75,A,1000
AGLKB ,24-Jun-04,10.00,A,1000,,AGLMB ,24-Jun-04,10.00,A,1000
AGLKA ,24-Jun-04,10.50,A,1000,,AGLMA ,24-Jun-04,10.50,A,1000
AGLTA ,24-Jun-04,11.00,A,1000,,AGLVA ,24-Jun-04,11.00,A,1000
AGLKD ,24-Jun-04,11.50,A,1000,,AGLMD ,24-Jun-04,11.50,A,1000
AGLKT ,24-Jun-04,12.50,A,1000,,AGLMT ,24-Jun-04,12.50,A,1000
AGLKG ,24-Jun-04,13.00,A,1000,,AGLMG ,24-Jun-04,13.00,A,1000
AGLKH ,24-Jun-04,13.50,A,1000,,AGLMH ,24-Jun-04,13.50,A,1000
AGLKJ ,23-Jun-05,13.00,A,1000,,AGLMJ ,23-Jun-05,13.00,A,1000
AGLKL ,23-Jun-05,13.50,A,1000,,AGLML ,23-Jun-05,13.50,A,1000
AGLQI ,29-Sep-05,10.00,A,1000,,AGLSI ,29-Sep-05,10.00,A,1000
AGLQO ,24-Jul-08,10.00,A,1000,,AGLSO ,24-Jul-08,10.00,A,1000
AGLQM ,24-Jul-08,13.50,A,1000,,AGLSM ,24-Jul-08,13.50,A,1000
AGLQN ,24-Jul-08,14.00,A,1000,,AGLSN ,24-Jul-08,14.00,A,1000

ALL   Call Options,,,,,,ALL   Put Options,,,,
ALLQE ,25-Sep-03,1.00,A,1000,,ALLSE ,25-Sep-03,1.00,A,1000
ALLQD ,25-Sep-03,1.50,A,1000,,ALLSD ,25-Sep-03,1.50,A,1000
ALLQA ,25-Sep-03,1.75,A,1000,,ALLSA ,25-Sep-03,1.75,A,1000
ALLQB ,25-Sep-03,2.00,A,1000,,ALLSB ,25-Sep-03,2.00,A,1000
ALLQC ,25-Sep-03,2.25,A,1000,,ALLSC ,25-Sep-03,2.25,A,1000
ALLKE ,27-May-04,1.50,A,1000,,ALLME ,27-May-04,1.50,A,1000
ALLKF ,27-May-04,2.50,A,1000,,ALLMF ,27-May-04,2.50,A,1000
ALLKA ,31-May-04,8.00,A,1000,,ALLMA ,31-May-04,8.00,A,1000

ALN   Call Options,,,,,,ALN   Put Options,,,,
ALNWA ,30-Oct-03,6.00,A,1000,,ALNYA ,30-Oct-03,6.00,A,1000
ALNWB ,30-Oct-03,6.25,A,1000,,ALNYB ,30-Oct-03,6.25,A,1000
ALNWC ,30-Oct-03,6.50,A,1000,,ALNYC ,30-Oct-03,6.50,A,1000
ALNJA ,29-Jan-04,6.00,A,1000,,ALNLA ,29-Jan-04,6.00,A,1000
ALNJB ,29-Jan-04,6.25,A,1000,,ALNLB ,29-Jan-04,6.25,A,1000
